requirement_id,product_id,stakeholder_group,user_story,acceptance_criteria,status,validation_state,linked_quality_check,release_target
REQ-DP001-1,DP001,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Accepted,Accepted,lineage_owner,Executive readout
REQ-DP001-2,DP001,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,At risk,Pending,freshness_sla,Backlog
REQ-DP001-3,DP001,commercial teams,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",In validation,Needs evidence,completeness,Week 1 validation
REQ-DP002-1,DP002,league departments,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Accepted,Accepted,freshness_sla,Club pilot
REQ-DP002-2,DP002,league departments,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Ready for build,Scheduled,freshness_sla,Next sprint
REQ-DP002-3,DP002,league departments,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Ready for build,Needs evidence,lineage_owner,Backlog
REQ-DP003-1,DP003,media teams,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",In validation,Needs evidence,lineage_owner,Backlog
REQ-DP003-2,DP003,media teams,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Blocked,Scheduled,completeness,Week 1 validation
REQ-DP003-3,DP003,media teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Accepted,Accepted,completeness,Executive readout
REQ-DP004-1,DP004,league departments,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",In validation,Scheduled,schema_drift,Week 1 validation
REQ-DP004-2,DP004,league departments,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Accepted,Accepted,key_uniqueness,Club pilot
REQ-DP004-3,DP004,league departments,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,In validation,Scheduled,completeness,Executive readout
REQ-DP005-1,DP005,commercial teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Blocked,Pending,schema_drift,Backlog
