action_id,product_id,action_type,business_reason,expected_quality_lift,effort_points,status
ACT0001,DP005,profile source,restore stakeholder trust,6.6,8,In progress
ACT0002,DP008,resolve duplicate keys,remove handoff ambiguity,2.6,2,Ready
ACT0003,DP013,add lineage monitor,restore stakeholder trust,1.9,8,Needs owner
ACT0004,DP008,profile source,restore stakeholder trust,5.2,3,In progress
ACT0005,DP002,add lineage monitor,reduce review cycle rework,6.5,3,Needs owner
ACT0006,DP010,define owner,reduce review cycle rework,5.2,5,In progress
ACT0007,DP012,add lineage monitor,support executive decision pack,7.4,5,Queued
ACT0008,DP006,define owner,support executive decision pack,7.3,8,Needs owner
ACT0009,DP006,define owner,prepare release validation,4.2,2,Queued
ACT0010,DP013,add lineage monitor,support executive decision pack,4.5,3,Queued
ACT0011,DP010,tighten acceptance criteria,support executive decision pack,6.0,13,Needs owner
ACT0012,DP015,profile source,prepare release validation,6.7,5,Needs owner
ACT0013,DP014,tighten acceptance criteria,remove handoff ambiguity,2.9,5,In progress
ACT0014,DP008,profile source,restore stakeholder trust,5.9,8,In progress
ACT0015,DP013,define owner,reduce review cycle rework,5.5,5,Queued
ACT0016,DP012,profile source,reduce review cycle rework,7.9,3,Queued
ACT0017,DP002,define owner,restore stakeholder trust,3.0,13,Ready
ACT0018,DP016,add lineage monitor,reduce review cycle rework,8.2,2,In progress
ACT0019,DP011,tighten acceptance criteria,reduce review cycle rework,3.6,5,Needs owner
ACT0020,DP012,add lineage monitor,restore stakeholder trust,2.6,5,Ready
ACT0021,DP002,backfill history,restore stakeholder trust,7.7,8,Needs owner
ACT0022,DP001,profile source,reduce review cycle rework,2.7,3,Needs owner
ACT0023,DP006,define owner,remove handoff ambiguity,7.6,8,Ready
ACT0024,DP010,tighten acceptance criteria,support executive decision pack,2.1,5,Queued
ACT0025,DP002,tighten acceptance criteria,reduce review cycle rework,3.1,13,Ready
ACT0026,DP009,define owner,remove handoff ambiguity,3.4,8,In progress
ACT0027,DP009,tighten acceptance criteria,remove handoff ambiguity,3.3,2,In progress
ACT0028,DP007,resolve duplicate keys,restore stakeholder trust,6.5,13,Needs owner
ACT0029,DP008,add lineage monitor,remove handoff ambiguity,6.9,5,In progress
ACT0030,DP007,tighten acceptance criteria,prepare release validation,7.7,3,In progress
ACT0031,DP006,profile source,support executive decision pack,8.3,2,Needs owner
ACT0032,DP010,profile source,support executive decision pack,6.3,3,Needs owner
ACT0033,DP013,tighten acceptance criteria,prepare release validation,7.6,5,In progress
ACT0034,DP004,backfill history,remove handoff ambiguity,5.8,2,Needs owner
ACT0035,DP005,tighten acceptance criteria,prepare release validation,7.9,2,Needs owner
ACT0036,DP011,resolve duplicate keys,prepare release validation,3.5,13,Ready
ACT0037,DP004,define owner,reduce review cycle rework,3.7,13,Needs owner
ACT0038,DP013,profile source,reduce review cycle rework,4.7,3,Ready
ACT0039,DP006,add lineage monitor,support executive decision pack,4.7,13,Queued
ACT0040,DP013,add lineage monitor,restore stakeholder trust,6.8,5,Queued
ACT0041,DP003,tighten acceptance criteria,reduce review cycle rework,2.0,3,Ready
ACT0042,DP006,profile source,reduce review cycle rework,4.6,2,Ready
ACT0043,DP008,profile source,prepare release validation,1.6,2,Needs owner
ACT0044,DP009,add lineage monitor,reduce review cycle rework,4.7,5,Ready
ACT0045,DP010,backfill history,support executive decision pack,6.4,2,Needs owner
ACT0046,DP008,backfill history,remove handoff ambiguity,7.8,8,Needs owner
ACT0047,DP012,backfill history,prepare release validation,7.1,8,Ready
ACT0048,DP003,resolve duplicate keys,restore stakeholder trust,4.1,13,Queued
ACT0049,DP007,add lineage monitor,restore stakeholder trust,6.3,3,Ready
ACT0050,DP002,resolve duplicate keys,reduce review cycle rework,3.8,3,Ready
ACT0051,DP014,tighten acceptance criteria,support executive decision pack,7.1,8,Ready
ACT0052,DP004,tighten acceptance criteria,remove handoff ambiguity,6.2,5,Ready
ACT0053,DP006,profile source,remove handoff ambiguity,5.1,8,Needs owner
ACT0054,DP008,define owner,prepare release validation,8.2,8,Ready
ACT0055,DP004,tighten acceptance criteria,prepare release validation,1.6,3,In progress
ACT0056,DP010,tighten acceptance criteria,restore stakeholder trust,6.7,5,Ready
ACT0057,DP002,backfill history,prepare release validation,2.6,3,In progress
ACT0058,DP011,tighten acceptance criteria,remove handoff ambiguity,4.7,2,Needs owner
ACT0059,DP015,define owner,remove handoff ambiguity,5.5,8,Queued
ACT0060,DP014,backfill history,restore stakeholder trust,2.8,8,In progress
ACT0061,DP010,profile source,support executive decision pack,3.6,5,Queued
ACT0062,DP013,define owner,prepare release validation,6.4,13,Needs owner
ACT0063,DP004,define owner,prepare release validation,7.2,3,In progress
ACT0064,DP007,resolve duplicate keys,support executive decision pack,2.2,5,Needs owner
ACT0065,DP015,resolve duplicate keys,prepare release validation,5.6,5,Queued
ACT0066,DP005,tighten acceptance criteria,restore stakeholder trust,7.2,13,Ready
ACT0067,DP005,define owner,restore stakeholder trust,4.8,8,Queued
ACT0068,DP008,add lineage monitor,remove handoff ambiguity,6.5,5,Needs owner
ACT0069,DP006,define owner,prepare release validation,4.9,8,Needs owner
ACT0070,DP011,tighten acceptance criteria,restore stakeholder trust,5.4,2,Needs owner
ACT0071,DP008,tighten acceptance criteria,reduce review cycle rework,1.7,3,Ready
ACT0072,DP015,add lineage monitor,restore stakeholder trust,5.8,3,Ready
ACT0073,DP014,profile source,remove handoff ambiguity,6.5,8,Needs owner
ACT0074,DP016,backfill history,reduce review cycle rework,3.4,2,Ready
ACT0075,DP006,add lineage monitor,support executive decision pack,7.5,13,Needs owner
ACT0076,DP016,resolve duplicate keys,prepare release validation,3.8,8,Queued
ACT0077,DP014,tighten acceptance criteria,reduce review cycle rework,5.3,2,Queued
ACT0078,DP012,add lineage monitor,remove handoff ambiguity,4.1,3,Ready
ACT0079,DP013,define owner,restore stakeholder trust,4.0,5,In progress
ACT0080,DP001,profile source,restore stakeholder trust,3.4,5,Queued
ACT0081,DP009,add lineage monitor,reduce review cycle rework,8.4,13,In progress
ACT0082,DP003,add lineage monitor,remove handoff ambiguity,6.1,5,Queued
ACT0083,DP016,resolve duplicate keys,prepare release validation,4.7,3,Queued
ACT0084,DP007,resolve duplicate keys,reduce review cycle rework,3.9,2,Queued
ACT0085,DP006,add lineage monitor,reduce review cycle rework,7.1,2,In progress
ACT0086,DP008,define owner,support executive decision pack,3.1,2,In progress
ACT0087,DP015,profile source,prepare release validation,4.6,8,In progress
ACT0088,DP006,profile source,prepare release validation,7.1,13,In progress
ACT0089,DP009,define owner,prepare release validation,1.9,5,Queued
ACT0090,DP013,backfill history,reduce review cycle rework,3.5,5,Queued
ACT0091,DP008,profile source,support executive decision pack,5.4,2,Ready
ACT0092,DP016,tighten acceptance criteria,prepare release validation,2.3,13,Ready
ACT0093,DP005,add lineage monitor,prepare release validation,5.5,2,Queued
ACT0094,DP012,tighten acceptance criteria,remove handoff ambiguity,4.9,3,Queued
ACT0095,DP001,profile source,restore stakeholder trust,5.6,3,Needs owner
ACT0096,DP008,backfill history,reduce review cycle rework,2.0,8,Needs owner
